Chinese,Nvshu
春游芳草夏赏绿荷池,𛊌𛊢𛆠𛉤𛈣𛊤𛆽𛇮𛆑
秋饮黄花酒冬吟白雪诗,𛉩𛋡𛊨𛈣𛊟𛊚𛆰𛇪𛊗𛆹
不能高声语恐惊天上人,𛆳𛈷𛋂𛉂𛆱𛊩𛇆𛆤𛆈𛅳
来到清华两月多安身住在七号楼,𛇤𛇼𛊭𛇳𛅱𛇃𛈁𛊃𛈛𛇭𛇥𛅲𛉥𛈰
同住房间人四个同坐合唱好开心,𛊤𛇭𛋅𛆃𛅳𛈗𛆅𛊤𛇎𛈩𛋬𛆚𛇶𛇹
层穿层拔有层装穿了衣裳来借问,𛋳𛊯𛋳𛇣𛈶𛋳𛈉𛊯𛅹𛆱𛈾𛇤𛊈𛉟
欲穷千里目更上一层楼,𛇄𛊝𛆉𛉄𛇀𛉘𛆈𛆼𛋳𛈰
九绣韩湘子吹笛十绣梅良玉爱花,𛆆𛋜𛊨𛉵𛆑𛆪𛋮𛅵𛋜𛊬𛉴𛉚𛋨𛈣
江岸何人初见月江月何年初照人,𛈌𛈀𛇮𛅳𛊾𛇝𛇃𛈌𛇃𛇮𛆥𛊾𛉓𛅳
只在此山中云深不知处,𛈤𛇥𛇠𛇏𛈌𛉍𛈛𛆳𛆍𛈫
山不在高有仙则名,𛇏𛆳𛇥𛋂𛈶𛇚𛈤𛇾
水不在深有龙则灵,𛅸𛆳𛇥𛈛𛈶𛉴𛈤𛉀
无可奈何花落去似曾相识燕归来,𛇯𛆄𛉈𛇮𛈣𛋝𛇂𛊝𛋳𛉵𛊗𛊂𛈘𛇤
问君何能尔心远地自偏,𛋆𛊵𛇮𛈷𛇈𛇹𛋟𛊤𛈤𛇙
别是一般滋味在心头,𛊎𛆹𛆼𛈺𛈤𛆨𛇥𛇹𛇊
红豆生南国春来发几枝,𛉢𛋛𛇏𛉺𛈅𛊌𛇤𛆐𛆺𛈤
不识庐山真面目只缘身在此山中,𛆳𛊗𛋗𛇏𛆭𛋉𛇀𛈤𛆧𛈛𛇥𛇠𛇏𛈌
是非成败转头空,𛆹𛆌𛈒𛇣𛇆𛇊𛉲
古今多少事都付笑谈中,𛇰𛆭𛈁𛆿𛅵𛋗𛆖𛅿𛊤𛈌
故国神游多情应笑我早生华发,𛉘𛈅𛋙𛊢𛈁𛊭𛊉𛅿𛈻𛈖𛇏𛇳𛆐
人生自古谁无死留取丹心照汗青,𛅳𛇏𛈤𛇰𛉅𛇯𛊅𛇋𛉛𛈁𛇹𛉓𛊧𛊭
春花秋月何时了,𛊌𛈣𛉩𛇃𛇮𛆸𛅹
往事知多少,𛉚𛅵𛆍𛈁𛆿
小楼昨夜又东风故国不堪回首月明中,𛅿𛈰𛈱𛇩𛇁𛊚𛋆𛉘𛈅𛆳𛉲𛇳𛆞𛇃𛇾𛈌
问君能有几多愁,𛉟𛊵𛈷𛈶𛆺𛈁𛊝
春风又绿江南岸明月何时照我还,𛊌𛋆𛇁𛆽𛈌𛉺𛈀𛇾𛇃𛇮𛆸𛉓𛈻𛇐
风雨不动安如山,𛋆𛇯𛆳𛆒𛊃𛇄𛇏
所以动心忍性曾益其所不能,𛈂𛆱𛆒𛇹𛅺𛉾𛋳𛇩𛊻𛈂𛆳𛈷
风声雨声读书声声声入耳,𛋆𛉂𛇯𛉂𛋥𛈬𛉂𛉂𛉂𛅱𛅺
国事家事天下事事事关心,𛈅𛅵𛉊𛅵𛆤𛅽𛅵𛅵𛅵𛇕𛇹
事能知足心常乐,𛅵𛈷𛆍𛇭𛇺𛈾𛋧
人到无求品自高,𛅳𛇼𛇯𛆝𛉞𛈤𛋂
不鸣则己一鸣惊人,𛆳𛇾𛈤𛆺𛆼𛇾𛋭𛅳
梅花香自苦寒来,𛊬𛈣𛉶𛈤𛇰𛊨𛇤
少年易老学难成,𛆿𛆥𛆱𛇼𛉬𛈷𛈒
一寸光阴不可轻,𛆼𛆄𛇕𛆱𛆳𛆄𛊯
伯牙善鼓琴钟子期善听,𛇫𛊢𛋌𛇰𛊝𛈌𛆑𛊻𛋌𛇜
伯牙鼓琴志在高山,𛇫𛊢𛇰𛊝𛊝𛇥𛋂𛇏
自李唐来世人甚爱牡丹,𛈤𛉄𛊤𛇤𛆓𛅳𛋐𛋨𛇀𛈁
香远益清亭亭净植,𛉶𛋟𛇩𛊭𛊭𛊭𛉽𛉓
牡丹花之富贵者也,𛇀𛈁𛈣𛈤𛆖𛋫𛈖𛇁
莲花之君子者也,𛉹𛈣𛈤𛊵𛆑𛈖𛇁
莲之爱同予者何人,𛉹𛈤𛋨𛊤𛇄𛈖𛇮𛅳
君子以文会友,𛊵𛆑𛆱𛆂𛋶𛈶
二者不可得兼舍鱼而取熊掌者也,𛅱𛈖𛆳𛆄𛋀𛉿𛉝𛊢𛇈𛉛𛈾𛇗𛈖𛇁
二者不可得兼舍生而取义者也,𛅱𛈖𛆳𛆄𛋀𛉿𛉝𛇏𛇈𛉛𛅺𛈖𛇁
有朋自远方来不亦乐乎,𛈶𛊘𛈤𛋟𛆠𛇤𛆳𛇁𛋧𛇰
君子成人之美,𛊵𛆑𛈒𛅳𛆷𛋪
仁者静知者乐仁者寿,𛅳𛈖𛉽𛇟𛈖𛋧𛅳𛈖𛉬
见贤思齐见不贤而内自省也,𛇝𛊁𛊸𛉑𛇝𛆳𛊁𛇈𛆫𛈤𛊜𛇁
博学于文约之以礼,𛉖𛉬𛆱𛆂𛆴𛆷𛆱𛅹
不积小流无以成江海,𛆳𛊈𛅿𛇋𛇯𛆱𛈒𛈌𛉝
千里之行始于足下,𛆉𛉄𛆷𛇐𛇴𛆱𛇭𛅽
道可道非常道,𛋛𛆄𛋛𛆌𛈾𛋛
名可名非常名,𛇾𛆄𛇾𛆌𛈾𛇾
有朋自远方来不亦乐乎,𛈶𛊘𛈤𛋟𛆠𛇤𛆳𛇁𛋧𛇰
上善若水,𛆈𛋌𛇁𛅸
百万雄师过大江,𛇫𛈄𛈾𛊸𛉘𛅻𛈌
传天若有情天亦老,𛈆𛆤𛇁𛈶𛊭𛆤𛇁𛇼
人间正道是沧桑,𛅳𛆃𛇆𛋛𛆹𛇴𛈊
山快马加鞭未下鞍,𛇏𛇨𛇀𛉊𛇙𛆨𛅽𛊃
惊回首离天三尺三,𛇆𛇳𛆞𛊎𛆤𛆊𛅼𛆊
挥手从兹去,𛆌𛆞𛋳𛈤𛇂
记得当年草上飞,𛉓𛋀𛉰𛆥𛉤𛆈𛆌
忽报人间曾伏虎,𛋷𛇣𛅳𛆃𛋳𛆖𛇰
泪飞顿作倾盆雨,𛇟𛆌𛆬𛈱𛊯𛊘𛇯
三军过后尽开颜,𛆊𛊵𛉘𛇌𛈯𛇶𛈕
帝子乘风下翠微,𛅹𛆑𛋙𛋆𛅽𛇂𛊄
斑竹一枝千滴泪,𛊰𛊶𛆼𛈤𛆉𛆒𛇟
人生易老天难老,𛅳𛇏𛆱𛇼𛆤𛈷𛇼
不到长城非好汉,𛆳𛇼𛈽𛈒𛆌𛆚𛊧
装点此关山今朝更好看,𛈉𛉸𛇠𛈘𛇏𛆭𛅾𛋫𛆚𛆣
风雨送春归飞雪迎春到,𛋆𛇯𛉡𛊌𛈘𛆌𛊗𛋍𛊌𛇼
踏遍青山人未老,𛋥𛇙𛊭𛇏𛅳𛆨𛇼
风景这边独好,𛆠𛇆𛋔𛇙𛋥𛆚
子在川上曰逝者如斯夫,𛆑𛇥𛊯𛆈𛆴𛆓𛈖𛇄𛊸𛆔
更立西江石壁,𛋫𛇟𛈨𛈌𛊍𛉎
保安人物一时新,𛉎𛊃𛅳𛇵𛆼𛆸𛊛
飞凤亭边树桃花岭上风,𛆌𛋹𛊭𛇙𛋙𛊤𛈣𛉼𛆈𛋆
一下二三里青村四五家,𛅰𛅽𛅱𛆊𛉄𛊭𛊌𛈗𛈕𛉊
夜起望明月低头思故乡,𛇩𛆻𛈈𛇾𛇃𛅾𛇊𛊸𛉘𛉶
初步出山幼阳鸟不会拍翅开嘴啼,𛊾𛉖𛈚𛇏𛆱𛈿𛋒𛆳𛆴𛇫𛆑𛇶𛆘𛊹
啼得高声人取笑啼得低声人不闻,𛊹𛋀𛋂𛉂𛅳𛉛𛅿𛊹𛋀𛅾𛉂𛅳𛆳𛇷
先开金玉花后结弯嘴桃,𛇚𛇶𛆭𛉚𛈣𛇌𛊐𛆨𛆘𛊤
夜里同鬼睡问你怕不怕,𛇩𛉄𛊤𛈙𛆙𛉟𛈪𛇲𛆳𛇲